year,mileage,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,brand,car_age,yearly_mileage,has_insurance,price
2026.0,0,0,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,0.0,0.0,0,210000000.0
2015.0,200000,9,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,11.0,16666.666666666668,1,1220000000.0
2021.0,104000,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_206,5.0,17333.333333333332,0,1290000000.0
2018.0,181000,9,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,pride_131,8.0,20111.11111111111,1,715000000.0
2021.0,78500,8,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,5.0,13083.333333333334,1,1750000000.0
2011.0,217000,12,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,renault_tondar-90,15.0,13562.5,1,1230000000.0
2017.0,132000,10,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,kia_cerato,9.0,13200.0,1,5240000000.0
2025.0,0,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,mvm_x22,1.0,0.0,0,2450000000.0
2023.0,124000,12,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,quick,3.0,31000.0,1,950000000.0
2009.0,360000,3,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,peugeot_pars,17.0,20000.0,1,758000000.0
2026.0,0,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,0.0,0.0,0,200000000.0
2021.0,137000,7,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,5.0,22833.333333333332,1,1430000000.0
2022.0,50000,5,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,quick,4.0,10000.0,1,950000000.0
2003.0,600000,2,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,سالم و پلمپ,peugeot_206,23.0,25000.0,1,485000000.0
2023.0,40000,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,3.0,10000.0,0,1460000000.0
2023.0,60000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,jac_s5,3.0,15000.0,1,3300000000.0
2023.0,57000,8,اتوماتیک,سالم و پلمپ,سالم,تمام‌رنگ,سالم و پلمپ,dena,3.0,14250.0,1,1550000000.0
2022.0,43000,3,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,quick,4.0,8600.0,1,10500000.0
2015.0,240000,8,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,سالم و پلمپ,kia_cerato,11.0,20000.0,1,2260000000.0
2015.0,170000,8,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,11.0,14166.666666666666,1,4400000000.0
2022.0,85000,7,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,mvm_x22,4.0,17000.0,1,2250000000.0
